1.+1.i    1.+2.i    1.+3.i    1.+4.i    1.+5.i    1.+6.i    1.+7.i    1.+8.i    1.+9.i    1.+10.i    1.+11.i    1.+12.i    1.+13.i    1.+14.i    1.+15.i    1.+16.i    1.+17.i    1.+18.i    1.+19.i    1.+20.i    1.+21.i    1.+22.i    1.+23.i    1.+24.i    1.+25.i    1.+26.i    1.+27.i    1.+28.i    1.+29.i    1.+30.i    1.+31.i    1.+32.i    1.+33.i    1.+34.i    1.+35.i    1.+36.i    1.+37.i    1.+38.i    1.+39.i    1.+40.i    1.+41.i    1.+42.i    1.+43.i    1.+44.i    1.+45.i    1.+46.i    1.+47.i    1.+48.i    1.+49.i    1.+50.i    1.+51.i    1.+52.i    1.+53.i    1.+54.i    1.+55.i    1.+56.i    1.+57.i    1.+58.i    1.+59.i    1.+60.i    1.+61.i    1.+62.i    1.+63.i    1.+64.i    1.+65.i    1.+66.i    1.+67.i    1.+68.i    1.+69.i    1.+70.i    1.+71.i    1.+72.i    1.+73.i    1.+74.i    1.+75.i    1.+76.i    1.+77.i    1.+78.i    1.+79.i    1.+80.i    1.+81.i    1.+82.i    1.+83.i    1.+84.i    1.+85.i    1.+86.i    1.+87.i    1.+88.i    1.+89.i    1.+90.i    1.+91.i    1.+92.i    1.+93.i    1.+94.i    1.+95.i    1.+96.i    1.+97.i    1.+98.i    1.+99.i    1.+100.i
31.+1.i    31.+2.i    31.+3.i    31.+4.i    31.+5.i    31.+6.i    31.+7.i    31.+8.i    31.+9.i    31.+10.i    31.+11.i    31.+12.i    31.+13.i    31.+14.i    31.+15.i    31.+16.i    31.+17.i    31.+18.i    31.+19.i    31.+20.i    31.+21.i    31.+22.i    31.+23.i    31.+24.i    31.+25.i    31.+26.i    31.+27.i    31.+28.i    31.+29.i    31.+30.i    31.+31.i    31.+32.i    31.+33.i    31.+34.i    31.+35.i    31.+36.i    31.+37.i    31.+38.i    31.+39.i    31.+40.i    31.+41.i    31.+42.i    31.+43.i    31.+44.i    31.+45.i    31.+46.i    31.+47.i    31.+48.i    31.+49.i    31.+50.i    31.+51.i    31.+52.i    31.+53.i    31.+54.i    31.+55.i    31.+56.i    31.+57.i    31.+58.i    31.+59.i    31.+60.i    31.+61.i    31.+62.i    31.+63.i    31.+64.i    31.+65.i    31.+66.i    31.+67.i    31.+68.i    31.+69.i    31.+70.i    31.+71.i    31.+72.i    31.+73.i    31.+74.i    31.+75.i    31.+76.i    31.+77.i    31.+78.i    31.+79.i    31.+80.i    31.+81.i    31.+82.i    31.+83.i    31.+84.i    31.+85.i    31.+86.i    31.+87.i    31.+88.i    31.+89.i    31.+90.i    31.+91.i    31.+92.i    31.+93.i    31.+94.i    31.+95.i    31.+96.i    31.+97.i    31.+98.i    31.+99.i    31.+100.i
32.+1.i    32.+2.i    32.+3.i    32.+4.i    32.+5.i    32.+6.i    32.+7.i    32.+8.i    32.+9.i    32.+10.i    32.+11.i    32.+12.i    32.+13.i    32.+14.i    32.+15.i    32.+16.i    32.+17.i    32.+18.i    32.+19.i    32.+20.i    32.+21.i    32.+22.i    32.+23.i    32.+24.i    32.+25.i    32.+26.i    32.+27.i    32.+28.i    32.+29.i    32.+30.i    32.+31.i    32.+32.i    32.+33.i    32.+34.i    32.+35.i    32.+36.i    32.+37.i    32.+38.i    32.+39.i    32.+40.i    32.+41.i    32.+42.i    32.+43.i    32.+44.i    32.+45.i    32.+46.i    32.+47.i    32.+48.i    32.+49.i    32.+50.i    32.+51.i    32.+52.i    32.+53.i    32.+54.i    32.+55.i    32.+56.i    32.+57.i    32.+58.i    32.+59.i    32.+60.i    32.+61.i    32.+62.i    32.+63.i    32.+64.i    32.+65.i    32.+66.i    32.+67.i    32.+68.i    32.+69.i    32.+70.i    32.+71.i    32.+72.i    32.+73.i    32.+74.i    32.+75.i    32.+76.i    32.+77.i    32.+78.i    32.+79.i    32.+80.i    32.+81.i    32.+82.i    32.+83.i    32.+84.i    32.+85.i    32.+86.i    32.+87.i    32.+88.i    32.+89.i    32.+90.i    32.+91.i    32.+92.i    32.+93.i    32.+94.i    32.+95.i    32.+96.i    32.+97.i    32.+98.i    32.+99.i    32.+100.i
33.+1.i    33.+2.i    33.+3.i    33.+4.i    33.+5.i    33.+6.i    33.+7.i    33.+8.i    33.+9.i    33.+10.i    33.+11.i    33.+12.i    33.+13.i    33.+14.i    33.+15.i    33.+16.i    33.+17.i    33.+18.i    33.+19.i    33.+20.i    33.+21.i    33.+22.i    33.+23.i    33.+24.i    33.+25.i    33.+26.i    33.+27.i    33.+28.i    33.+29.i    33.+30.i    33.+31.i    33.+32.i    33.+33.i    33.+34.i    33.+35.i    33.+36.i    33.+37.i    33.+38.i    33.+39.i    33.+40.i    33.+41.i    33.+42.i    33.+43.i    33.+44.i    33.+45.i    33.+46.i    33.+47.i    33.+48.i    33.+49.i    33.+50.i    33.+51.i    33.+52.i    33.+53.i    33.+54.i    33.+55.i    33.+56.i    33.+57.i    33.+58.i    33.+59.i    33.+60.i    33.+61.i    33.+62.i    33.+63.i    33.+64.i    33.+65.i    33.+66.i    33.+67.i    33.+68.i    33.+69.i    33.+70.i    33.+71.i    33.+72.i    33.+73.i    33.+74.i    33.+75.i    33.+76.i    33.+77.i    33.+78.i    33.+79.i    33.+80.i    33.+81.i    33.+82.i    33.+83.i    33.+84.i    33.+85.i    33.+86.i    33.+87.i    33.+88.i    33.+89.i    33.+90.i    33.+91.i    33.+92.i    33.+93.i    33.+94.i    33.+95.i    33.+96.i    33.+97.i    33.+98.i    33.+99.i    33.+100.i
34.+1.i    34.+2.i    34.+3.i    34.+4.i    34.+5.i    34.+6.i    34.+7.i    34.+8.i    34.+9.i    34.+10.i    34.+11.i    34.+12.i    34.+13.i    34.+14.i    34.+15.i    34.+16.i    34.+17.i    34.+18.i    34.+19.i    34.+20.i    34.+21.i    34.+22.i    34.+23.i    34.+24.i    34.+25.i    34.+26.i    34.+27.i    34.+28.i    34.+29.i    34.+30.i    34.+31.i    34.+32.i    34.+33.i    34.+34.i    34.+35.i    34.+36.i    34.+37.i    34.+38.i    34.+39.i    34.+40.i    34.+41.i    34.+42.i    34.+43.i    34.+44.i    34.+45.i    34.+46.i    34.+47.i    34.+48.i    34.+49.i    34.+50.i    34.+51.i    34.+52.i    34.+53.i    34.+54.i    34.+55.i    34.+56.i    34.+57.i    34.+58.i    34.+59.i    34.+60.i    34.+61.i    34.+62.i    34.+63.i    34.+64.i    34.+65.i    34.+66.i    34.+67.i    34.+68.i    34.+69.i    34.+70.i    34.+71.i    34.+72.i    34.+73.i    34.+74.i    34.+75.i    34.+76.i    34.+77.i    34.+78.i    34.+79.i    34.+80.i    34.+81.i    34.+82.i    34.+83.i    34.+84.i    34.+85.i    34.+86.i    34.+87.i    34.+88.i    34.+89.i    34.+90.i    34.+91.i    34.+92.i    34.+93.i    34.+94.i    34.+95.i    34.+96.i    34.+97.i    34.+98.i    34.+99.i    34.+100.i
35.+1.i    35.+2.i    35.+3.i    35.+4.i    35.+5.i    35.+6.i    35.+7.i    35.+8.i    35.+9.i    35.+10.i    35.+11.i    35.+12.i    35.+13.i    35.+14.i    35.+15.i    35.+16.i    35.+17.i    35.+18.i    35.+19.i    35.+20.i    35.+21.i    35.+22.i    35.+23.i    35.+24.i    35.+25.i    35.+26.i    35.+27.i    35.+28.i    35.+29.i    35.+30.i    35.+31.i    35.+32.i    35.+33.i    35.+34.i    35.+35.i    35.+36.i    35.+37.i    35.+38.i    35.+39.i    35.+40.i    35.+41.i    35.+42.i    35.+43.i    35.+44.i    35.+45.i    35.+46.i    35.+47.i    35.+48.i    35.+49.i    35.+50.i    35.+51.i    35.+52.i    35.+53.i    35.+54.i    35.+55.i    35.+56.i    35.+57.i    35.+58.i    35.+59.i    35.+60.i    35.+61.i    35.+62.i    35.+63.i    35.+64.i    35.+65.i    35.+66.i    35.+67.i    35.+68.i    35.+69.i    35.+70.i    35.+71.i    35.+72.i    35.+73.i    35.+74.i    35.+75.i    35.+76.i    35.+77.i    35.+78.i    35.+79.i    35.+80.i    35.+81.i    35.+82.i    35.+83.i    35.+84.i    35.+85.i    35.+86.i    35.+87.i    35.+88.i    35.+89.i    35.+90.i    35.+91.i    35.+92.i    35.+93.i    35.+94.i    35.+95.i    35.+96.i    35.+97.i    35.+98.i    35.+99.i    35.+100.i
36.+1.i    36.+2.i    36.+3.i    36.+4.i    36.+5.i    36.+6.i    36.+7.i    36.+8.i    36.+9.i    36.+10.i    36.+11.i    36.+12.i    36.+13.i    36.+14.i    36.+15.i    36.+16.i    36.+17.i    36.+18.i    36.+19.i    36.+20.i    36.+21.i    36.+22.i    36.+23.i    36.+24.i    36.+25.i    36.+26.i    36.+27.i    36.+28.i    36.+29.i    36.+30.i    36.+31.i    36.+32.i    36.+33.i    36.+34.i    36.+35.i    36.+36.i    36.+37.i    36.+38.i    36.+39.i    36.+40.i    36.+41.i    36.+42.i    36.+43.i    36.+44.i    36.+45.i    36.+46.i    36.+47.i    36.+48.i    36.+49.i    36.+50.i    36.+51.i    36.+52.i    36.+53.i    36.+54.i    36.+55.i    36.+56.i    36.+57.i    36.+58.i    36.+59.i    36.+60.i    36.+61.i    36.+62.i    36.+63.i    36.+64.i    36.+65.i    36.+66.i    36.+67.i    36.+68.i    36.+69.i    36.+70.i    36.+71.i    36.+72.i    36.+73.i    36.+74.i    36.+75.i    36.+76.i    36.+77.i    36.+78.i    36.+79.i    36.+80.i    36.+81.i    36.+82.i    36.+83.i    36.+84.i    36.+85.i    36.+86.i    36.+87.i    36.+88.i    36.+89.i    36.+90.i    36.+91.i    36.+92.i    36.+93.i    36.+94.i    36.+95.i    36.+96.i    36.+97.i    36.+98.i    36.+99.i    36.+100.i
37.+1.i    37.+2.i    37.+3.i    37.+4.i    37.+5.i    37.+6.i    37.+7.i    37.+8.i    37.+9.i    37.+10.i    37.+11.i    37.+12.i    37.+13.i    37.+14.i    37.+15.i    37.+16.i    37.+17.i    37.+18.i    37.+19.i    37.+20.i    37.+21.i    37.+22.i    37.+23.i    37.+24.i    37.+25.i    37.+26.i    37.+27.i    37.+28.i    37.+29.i    37.+30.i    37.+31.i    37.+32.i    37.+33.i    37.+34.i    37.+35.i    37.+36.i    37.+37.i    37.+38.i    37.+39.i    37.+40.i    37.+41.i    37.+42.i    37.+43.i    37.+44.i    37.+45.i    37.+46.i    37.+47.i    37.+48.i    37.+49.i    37.+50.i    37.+51.i    37.+52.i    37.+53.i    37.+54.i    37.+55.i    37.+56.i    37.+57.i    37.+58.i    37.+59.i    37.+60.i    37.+61.i    37.+62.i    37.+63.i    37.+64.i    37.+65.i    37.+66.i    37.+67.i    37.+68.i    37.+69.i    37.+70.i    37.+71.i    37.+72.i    37.+73.i    37.+74.i    37.+75.i    37.+76.i    37.+77.i    37.+78.i    37.+79.i    37.+80.i    37.+81.i    37.+82.i    37.+83.i    37.+84.i    37.+85.i    37.+86.i    37.+87.i    37.+88.i    37.+89.i    37.+90.i    37.+91.i    37.+92.i    37.+93.i    37.+94.i    37.+95.i    37.+96.i    37.+97.i    37.+98.i    37.+99.i    37.+100.i
38.+1.i    38.+2.i    38.+3.i    38.+4.i    38.+5.i    38.+6.i    38.+7.i    38.+8.i    38.+9.i    38.+10.i    38.+11.i    38.+12.i    38.+13.i    38.+14.i    38.+15.i    38.+16.i    38.+17.i    38.+18.i    38.+19.i    38.+20.i    38.+21.i    38.+22.i    38.+23.i    38.+24.i    38.+25.i    38.+26.i    38.+27.i    38.+28.i    38.+29.i    38.+30.i    38.+31.i    38.+32.i    38.+33.i    38.+34.i    38.+35.i    38.+36.i    38.+37.i    38.+38.i    38.+39.i    38.+40.i    38.+41.i    38.+42.i    38.+43.i    38.+44.i    38.+45.i    38.+46.i    38.+47.i    38.+48.i    38.+49.i    38.+50.i    38.+51.i    38.+52.i    38.+53.i    38.+54.i    38.+55.i    38.+56.i    38.+57.i    38.+58.i    38.+59.i    38.+60.i    38.+61.i    38.+62.i    38.+63.i    38.+64.i    38.+65.i    38.+66.i    38.+67.i    38.+68.i    38.+69.i    38.+70.i    38.+71.i    38.+72.i    38.+73.i    38.+74.i    38.+75.i    38.+76.i    38.+77.i    38.+78.i    38.+79.i    38.+80.i    38.+81.i    38.+82.i    38.+83.i    38.+84.i    38.+85.i    38.+86.i    38.+87.i    38.+88.i    38.+89.i    38.+90.i    38.+91.i    38.+92.i    38.+93.i    38.+94.i    38.+95.i    38.+96.i    38.+97.i    38.+98.i    38.+99.i    38.+100.i
39.+1.i    39.+2.i    39.+3.i    39.+4.i    39.+5.i    39.+6.i    39.+7.i    39.+8.i    39.+9.i    39.+10.i    39.+11.i    39.+12.i    39.+13.i    39.+14.i    39.+15.i    39.+16.i    39.+17.i    39.+18.i    39.+19.i    39.+20.i    39.+21.i    39.+22.i    39.+23.i    39.+24.i    39.+25.i    39.+26.i    39.+27.i    39.+28.i    39.+29.i    39.+30.i    39.+31.i    39.+32.i    39.+33.i    39.+34.i    39.+35.i    39.+36.i    39.+37.i    39.+38.i    39.+39.i    39.+40.i    39.+41.i    39.+42.i    39.+43.i    39.+44.i    39.+45.i    39.+46.i    39.+47.i    39.+48.i    39.+49.i    39.+50.i    39.+51.i    39.+52.i    39.+53.i    39.+54.i    39.+55.i    39.+56.i    39.+57.i    39.+58.i    39.+59.i    39.+60.i    39.+61.i    39.+62.i    39.+63.i    39.+64.i    39.+65.i    39.+66.i    39.+67.i    39.+68.i    39.+69.i    39.+70.i    39.+71.i    39.+72.i    39.+73.i    39.+74.i    39.+75.i    39.+76.i    39.+77.i    39.+78.i    39.+79.i    39.+80.i    39.+81.i    39.+82.i    39.+83.i    39.+84.i    39.+85.i    39.+86.i    39.+87.i    39.+88.i    39.+89.i    39.+90.i    39.+91.i    39.+92.i    39.+93.i    39.+94.i    39.+95.i    39.+96.i    39.+97.i    39.+98.i    39.+99.i    39.+100.i
40.+1.i    40.+2.i    40.+3.i    40.+4.i    40.+5.i    40.+6.i    40.+7.i    40.+8.i    40.+9.i    40.+10.i    40.+11.i    40.+12.i    40.+13.i    40.+14.i    40.+15.i    40.+16.i    40.+17.i    40.+18.i    40.+19.i    40.+20.i    40.+21.i    40.+22.i    40.+23.i    40.+24.i    40.+25.i    40.+26.i    40.+27.i    40.+28.i    40.+29.i    40.+30.i    40.+31.i    40.+32.i    40.+33.i    40.+34.i    40.+35.i    40.+36.i    40.+37.i    40.+38.i    40.+39.i    40.+40.i    40.+41.i    40.+42.i    40.+43.i    40.+44.i    40.+45.i    40.+46.i    40.+47.i    40.+48.i    40.+49.i    40.+50.i    40.+51.i    40.+52.i    40.+53.i    40.+54.i    40.+55.i    40.+56.i    40.+57.i    40.+58.i    40.+59.i    40.+60.i    40.+61.i    40.+62.i    40.+63.i    40.+64.i    40.+65.i    40.+66.i    40.+67.i    40.+68.i    40.+69.i    40.+70.i    40.+71.i    40.+72.i    40.+73.i    40.+74.i    40.+75.i    40.+76.i    40.+77.i    40.+78.i    40.+79.i    40.+80.i    40.+81.i    40.+82.i    40.+83.i    40.+84.i    40.+85.i    40.+86.i    40.+87.i    40.+88.i    40.+89.i    40.+90.i    40.+91.i    40.+92.i    40.+93.i    40.+94.i    40.+95.i    40.+96.i    40.+97.i    40.+98.i    40.+99.i    40.+100.i
41.+1.i    41.+2.i    41.+3.i    41.+4.i    41.+5.i    41.+6.i    41.+7.i    41.+8.i    41.+9.i    41.+10.i    41.+11.i    41.+12.i    41.+13.i    41.+14.i    41.+15.i    41.+16.i    41.+17.i    41.+18.i    41.+19.i    41.+20.i    41.+21.i    41.+22.i    41.+23.i    41.+24.i    41.+25.i    41.+26.i    41.+27.i    41.+28.i    41.+29.i    41.+30.i    41.+31.i    41.+32.i    41.+33.i    41.+34.i    41.+35.i    41.+36.i    41.+37.i    41.+38.i    41.+39.i    41.+40.i    41.+41.i    41.+42.i    41.+43.i    41.+44.i    41.+45.i    41.+46.i    41.+47.i    41.+48.i    41.+49.i    41.+50.i    41.+51.i    41.+52.i    41.+53.i    41.+54.i    41.+55.i    41.+56.i    41.+57.i    41.+58.i    41.+59.i    41.+60.i    41.+61.i    41.+62.i    41.+63.i    41.+64.i    41.+65.i    41.+66.i    41.+67.i    41.+68.i    41.+69.i    41.+70.i    41.+71.i    41.+72.i    41.+73.i    41.+74.i    41.+75.i    41.+76.i    41.+77.i    41.+78.i    41.+79.i    41.+80.i    41.+81.i    41.+82.i    41.+83.i    41.+84.i    41.+85.i    41.+86.i    41.+87.i    41.+88.i    41.+89.i    41.+90.i    41.+91.i    41.+92.i    41.+93.i    41.+94.i    41.+95.i    41.+96.i    41.+97.i    41.+98.i    41.+99.i    41.+100.i
42.+1.i    42.+2.i    42.+3.i    42.+4.i    42.+5.i    42.+6.i    42.+7.i    42.+8.i    42.+9.i    42.+10.i    42.+11.i    42.+12.i    42.+13.i    42.+14.i    42.+15.i    42.+16.i    42.+17.i    42.+18.i    42.+19.i    42.+20.i    42.+21.i    42.+22.i    42.+23.i    42.+24.i    42.+25.i    42.+26.i    42.+27.i    42.+28.i    42.+29.i    42.+30.i    42.+31.i    42.+32.i    42.+33.i    42.+34.i    42.+35.i    42.+36.i    42.+37.i    42.+38.i    42.+39.i    42.+40.i    42.+41.i    42.+42.i    42.+43.i    42.+44.i    42.+45.i    42.+46.i    42.+47.i    42.+48.i    42.+49.i    42.+50.i    42.+51.i    42.+52.i    42.+53.i    42.+54.i    42.+55.i    42.+56.i    42.+57.i    42.+58.i    42.+59.i    42.+60.i    42.+61.i    42.+62.i    42.+63.i    42.+64.i    42.+65.i    42.+66.i    42.+67.i    42.+68.i    42.+69.i    42.+70.i    42.+71.i    42.+72.i    42.+73.i    42.+74.i    42.+75.i    42.+76.i    42.+77.i    42.+78.i    42.+79.i    42.+80.i    42.+81.i    42.+82.i    42.+83.i    42.+84.i    42.+85.i    42.+86.i    42.+87.i    42.+88.i    42.+89.i    42.+90.i    42.+91.i    42.+92.i    42.+93.i    42.+94.i    42.+95.i    42.+96.i    42.+97.i    42.+98.i    42.+99.i    42.+100.i
43.+1.i    43.+2.i    43.+3.i    43.+4.i    43.+5.i    43.+6.i    43.+7.i    43.+8.i    43.+9.i    43.+10.i    43.+11.i    43.+12.i    43.+13.i    43.+14.i    43.+15.i    43.+16.i    43.+17.i    43.+18.i    43.+19.i    43.+20.i    43.+21.i    43.+22.i    43.+23.i    43.+24.i    43.+25.i    43.+26.i    43.+27.i    43.+28.i    43.+29.i    43.+30.i    43.+31.i    43.+32.i    43.+33.i    43.+34.i    43.+35.i    43.+36.i    43.+37.i    43.+38.i    43.+39.i    43.+40.i    43.+41.i    43.+42.i    43.+43.i    43.+44.i    43.+45.i    43.+46.i    43.+47.i    43.+48.i    43.+49.i    43.+50.i    43.+51.i    43.+52.i    43.+53.i    43.+54.i    43.+55.i    43.+56.i    43.+57.i    43.+58.i    43.+59.i    43.+60.i    43.+61.i    43.+62.i    43.+63.i    43.+64.i    43.+65.i    43.+66.i    43.+67.i    43.+68.i    43.+69.i    43.+70.i    43.+71.i    43.+72.i    43.+73.i    43.+74.i    43.+75.i    43.+76.i    43.+77.i    43.+78.i    43.+79.i    43.+80.i    43.+81.i    43.+82.i    43.+83.i    43.+84.i    43.+85.i    43.+86.i    43.+87.i    43.+88.i    43.+89.i    43.+90.i    43.+91.i    43.+92.i    43.+93.i    43.+94.i    43.+95.i    43.+96.i    43.+97.i    43.+98.i    43.+99.i    43.+100.i
44.+1.i    44.+2.i    44.+3.i    44.+4.i    44.+5.i    44.+6.i    44.+7.i    44.+8.i    44.+9.i    44.+10.i    44.+11.i    44.+12.i    44.+13.i    44.+14.i    44.+15.i    44.+16.i    44.+17.i    44.+18.i    44.+19.i    44.+20.i    44.+21.i    44.+22.i    44.+23.i    44.+24.i    44.+25.i    44.+26.i    44.+27.i    44.+28.i    44.+29.i    44.+30.i    44.+31.i    44.+32.i    44.+33.i    44.+34.i    44.+35.i    44.+36.i    44.+37.i    44.+38.i    44.+39.i    44.+40.i    44.+41.i    44.+42.i    44.+43.i    44.+44.i    44.+45.i    44.+46.i    44.+47.i    44.+48.i    44.+49.i    44.+50.i    44.+51.i    44.+52.i    44.+53.i    44.+54.i    44.+55.i    44.+56.i    44.+57.i    44.+58.i    44.+59.i    44.+60.i    44.+61.i    44.+62.i    44.+63.i    44.+64.i    44.+65.i    44.+66.i    44.+67.i    44.+68.i    44.+69.i    44.+70.i    44.+71.i    44.+72.i    44.+73.i    44.+74.i    44.+75.i    44.+76.i    44.+77.i    44.+78.i    44.+79.i    44.+80.i    44.+81.i    44.+82.i    44.+83.i    44.+84.i    44.+85.i    44.+86.i    44.+87.i    44.+88.i    44.+89.i    44.+90.i    44.+91.i    44.+92.i    44.+93.i    44.+94.i    44.+95.i    44.+96.i    44.+97.i    44.+98.i    44.+99.i    44.+100.i
45.+1.i    45.+2.i    45.+3.i    45.+4.i    45.+5.i    45.+6.i    45.+7.i    45.+8.i    45.+9.i    45.+10.i    45.+11.i    45.+12.i    45.+13.i    45.+14.i    45.+15.i    45.+16.i    45.+17.i    45.+18.i    45.+19.i    45.+20.i    45.+21.i    45.+22.i    45.+23.i    45.+24.i    45.+25.i    45.+26.i    45.+27.i    45.+28.i    45.+29.i    45.+30.i    45.+31.i    45.+32.i    45.+33.i    45.+34.i    45.+35.i    45.+36.i    45.+37.i    45.+38.i    45.+39.i    45.+40.i    45.+41.i    45.+42.i    45.+43.i    45.+44.i    45.+45.i    45.+46.i    45.+47.i    45.+48.i    45.+49.i    45.+50.i    45.+51.i    45.+52.i    45.+53.i    45.+54.i    45.+55.i    45.+56.i    45.+57.i    45.+58.i    45.+59.i    45.+60.i    45.+61.i    45.+62.i    45.+63.i    45.+64.i    45.+65.i    45.+66.i    45.+67.i    45.+68.i    45.+69.i    45.+70.i    45.+71.i    45.+72.i    45.+73.i    45.+74.i    45.+75.i    45.+76.i    45.+77.i    45.+78.i    45.+79.i    45.+80.i    45.+81.i    45.+82.i    45.+83.i    45.+84.i    45.+85.i    45.+86.i    45.+87.i    45.+88.i    45.+89.i    45.+90.i    45.+91.i    45.+92.i    45.+93.i    45.+94.i    45.+95.i    45.+96.i    45.+97.i    45.+98.i    45.+99.i    45.+100.i
46.+1.i    46.+2.i    46.+3.i    46.+4.i    46.+5.i    46.+6.i    46.+7.i    46.+8.i    46.+9.i    46.+10.i    46.+11.i    46.+12.i    46.+13.i    46.+14.i    46.+15.i    46.+16.i    46.+17.i    46.+18.i    46.+19.i    46.+20.i    46.+21.i    46.+22.i    46.+23.i    46.+24.i    46.+25.i    46.+26.i    46.+27.i    46.+28.i    46.+29.i    46.+30.i    46.+31.i    46.+32.i    46.+33.i    46.+34.i    46.+35.i    46.+36.i    46.+37.i    46.+38.i    46.+39.i    46.+40.i    46.+41.i    46.+42.i    46.+43.i    46.+44.i    46.+45.i    46.+46.i    46.+47.i    46.+48.i    46.+49.i    46.+50.i    46.+51.i    46.+52.i    46.+53.i    46.+54.i    46.+55.i    46.+56.i    46.+57.i    46.+58.i    46.+59.i    46.+60.i    46.+61.i    46.+62.i    46.+63.i    46.+64.i    46.+65.i    46.+66.i    46.+67.i    46.+68.i    46.+69.i    46.+70.i    46.+71.i    46.+72.i    46.+73.i    46.+74.i    46.+75.i    46.+76.i    46.+77.i    46.+78.i    46.+79.i    46.+80.i    46.+81.i    46.+82.i    46.+83.i    46.+84.i    46.+85.i    46.+86.i    46.+87.i    46.+88.i    46.+89.i    46.+90.i    46.+91.i    46.+92.i    46.+93.i    46.+94.i    46.+95.i    46.+96.i    46.+97.i    46.+98.i    46.+99.i    46.+100.i
47.+1.i    47.+2.i    47.+3.i    47.+4.i    47.+5.i    47.+6.i    47.+7.i    47.+8.i    47.+9.i    47.+10.i    47.+11.i    47.+12.i    47.+13.i    47.+14.i    47.+15.i    47.+16.i    47.+17.i    47.+18.i    47.+19.i    47.+20.i    47.+21.i    47.+22.i    47.+23.i    47.+24.i    47.+25.i    47.+26.i    47.+27.i    47.+28.i    47.+29.i    47.+30.i    47.+31.i    47.+32.i    47.+33.i    47.+34.i    47.+35.i    47.+36.i    47.+37.i    47.+38.i    47.+39.i    47.+40.i    47.+41.i    47.+42.i    47.+43.i    47.+44.i    47.+45.i    47.+46.i    47.+47.i    47.+48.i    47.+49.i    47.+50.i    47.+51.i    47.+52.i    47.+53.i    47.+54.i    47.+55.i    47.+56.i    47.+57.i    47.+58.i    47.+59.i    47.+60.i    47.+61.i    47.+62.i    47.+63.i    47.+64.i    47.+65.i    47.+66.i    47.+67.i    47.+68.i    47.+69.i    47.+70.i    47.+71.i    47.+72.i    47.+73.i    47.+74.i    47.+75.i    47.+76.i    47.+77.i    47.+78.i    47.+79.i    47.+80.i    47.+81.i    47.+82.i    47.+83.i    47.+84.i    47.+85.i    47.+86.i    47.+87.i    47.+88.i    47.+89.i    47.+90.i    47.+91.i    47.+92.i    47.+93.i    47.+94.i    47.+95.i    47.+96.i    47.+97.i    47.+98.i    47.+99.i    47.+100.i
48.+1.i    48.+2.i    48.+3.i    48.+4.i    48.+5.i    48.+6.i    48.+7.i    48.+8.i    48.+9.i    48.+10.i    48.+11.i    48.+12.i    48.+13.i    48.+14.i    48.+15.i    48.+16.i    48.+17.i    48.+18.i    48.+19.i    48.+20.i    48.+21.i    48.+22.i    48.+23.i    48.+24.i    48.+25.i    48.+26.i    48.+27.i    48.+28.i    48.+29.i    48.+30.i    48.+31.i    48.+32.i    48.+33.i    48.+34.i    48.+35.i    48.+36.i    48.+37.i    48.+38.i    48.+39.i    48.+40.i    48.+41.i    48.+42.i    48.+43.i    48.+44.i    48.+45.i    48.+46.i    48.+47.i    48.+48.i    48.+49.i    48.+50.i    48.+51.i    48.+52.i    48.+53.i    48.+54.i    48.+55.i    48.+56.i    48.+57.i    48.+58.i    48.+59.i    48.+60.i    48.+61.i    48.+62.i    48.+63.i    48.+64.i    48.+65.i    48.+66.i    48.+67.i    48.+68.i    48.+69.i    48.+70.i    48.+71.i    48.+72.i    48.+73.i    48.+74.i    48.+75.i    48.+76.i    48.+77.i    48.+78.i    48.+79.i    48.+80.i    48.+81.i    48.+82.i    48.+83.i    48.+84.i    48.+85.i    48.+86.i    48.+87.i    48.+88.i    48.+89.i    48.+90.i    48.+91.i    48.+92.i    48.+93.i    48.+94.i    48.+95.i    48.+96.i    48.+97.i    48.+98.i    48.+99.i    48.+100.i
49.+1.i    49.+2.i    49.+3.i    49.+4.i    49.+5.i    49.+6.i    49.+7.i    49.+8.i    49.+9.i    49.+10.i    49.+11.i    49.+12.i    49.+13.i    49.+14.i    49.+15.i    49.+16.i    49.+17.i    49.+18.i    49.+19.i    49.+20.i    49.+21.i    49.+22.i    49.+23.i    49.+24.i    49.+25.i    49.+26.i    49.+27.i    49.+28.i    49.+29.i    49.+30.i    49.+31.i    49.+32.i    49.+33.i    49.+34.i    49.+35.i    49.+36.i    49.+37.i    49.+38.i    49.+39.i    49.+40.i    49.+41.i    49.+42.i    49.+43.i    49.+44.i    49.+45.i    49.+46.i    49.+47.i    49.+48.i    49.+49.i    49.+50.i    49.+51.i    49.+52.i    49.+53.i    49.+54.i    49.+55.i    49.+56.i    49.+57.i    49.+58.i    49.+59.i    49.+60.i    49.+61.i    49.+62.i    49.+63.i    49.+64.i    49.+65.i    49.+66.i    49.+67.i    49.+68.i    49.+69.i    49.+70.i    49.+71.i    49.+72.i    49.+73.i    49.+74.i    49.+75.i    49.+76.i    49.+77.i    49.+78.i    49.+79.i    49.+80.i    49.+81.i    49.+82.i    49.+83.i    49.+84.i    49.+85.i    49.+86.i    49.+87.i    49.+88.i    49.+89.i    49.+90.i    49.+91.i    49.+92.i    49.+93.i    49.+94.i    49.+95.i    49.+96.i    49.+97.i    49.+98.i    49.+99.i    49.+100.i
